year,total_ghg_emissions
2000,299829201.715536
2001,304278106.97960603
2002,309318885.925951
2003,323123857.716293
2004,337545421.567434
2005,350435515.603585
2006,362317888.098011
2007,375445097.97496897
2008,380305565.824893
2009,379429888.999826
2010,399827227.039995
2011,413941482.634575
2012,420342074.28270197
2013,427662771.970446
2014,431003389.916188
2015,429800904.826482
2016,431982901.200845
2017,439886580.962133
2018,450714731.866671
2019,452882814.127276
2020,440220226.510455
